ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Total,FullName,AlterEgos,Aliases,PlaceOfBirth,FirstAppearance,Publisher,Alignment,Gender,Race,Height_cm,Weight_kg,EyeColor,HairColor,Occupation,Base,GroupAffiliation,Relatives,ImageURL
424,Magog,50,48,23,64,66,72,323,David Reid,,,,,DC Comics,Good,Male,,0,0,Blue,Blond,,,"formerly Justice Society of America, formerally United States Marine Corps","Franklin Delano Roosevelt (great-grandfather, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1324.jpg
425,Magus,88,100,70,99,100,74,531,,,Warlock's Father,Kvch (Technarchy�s home planet),New Mutants #18 (1984),Marvel Comics,Bad,Male,,183,0,Black,,Ruler of the Technarchy,,,"Warlock (son, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1297.jpg
426,Man of Miracles,100,100,100,100,100,100,600,,,Mother Of Existence,,Spawn #75,Image Comics,,,God / Eternal,0,0,Blue,Silver,,,,,https://www.superherodb.com/pictures2/portraits/10/100/10889.jpg
427,Man-Bat,38,18,50,70,33,30,239,Robert Kirkland Langstrom,,Kirk Langstrom,"Chicago, Illinois","Detective Comics #400 (June, 1970)",DC Comics,Neutral,Male,Human,0,0,Brown,Brown,Zoologist,Gotham City,"Formerly Spirit Squad, The Network","Francine Langstrom (wife), Rebecca Elizabeth Langtrom (daughter); Aaron Langstrom (son); Britt Langstrom (sister); Ted Friedel (brother-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/731.jpg
428,Man-Thing,50,32,8,100,100,40,330,Dr. Theodore Sallis,,the Vagornus Koth; the Swamp Walker; Mr. Salad; Walking Mulch Heap,,"Savage Tales #1 (May, 1971)",Marvel Comics,Good,Male,,213,225,Red,No Hair,,"Man-Thing's Swamp, Citrusville, Florida","Thunderbolts, Legion of Monsters, Daydreamers",Ellen Brandt (ex-wife) Job Burke (son),https://www.superherodb.com/pictures2/portraits/10/100/382.jpg
429,Man-Wolf,63,44,35,42,45,70,299,John Jameson,,Stargod; Vanwolf; Skywolf,"New York, New York","AMAZING SPIDER-MAN #1, (as Man-Wolf) AMAZING SPIDER-MAN #124",Marvel Comics,Good,Male,,188,90,Brown,Auburn,"Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute",Queens,"Ravencroft Insitute Staff, Avengers Support Crew, NASA, USAF","J. Jonah (father), Joan (mother, deceased), Marla Madison (stepmother), David (paternal grandfather, presumed deceased), Betty (paternal grandmother, presumed deceased)",https://www.superherodb.com/pictures2/portraits/10/100/91.jpg
430,Mandarin,100,28,23,28,100,95,374,Khan,,Tem Borjigin; Gene Kahn; Master Khan; Zhang Tong; Mandy,China,"Tales of Suspense #50 (February, 1964)",Marvel Comics,Bad,Male,Human,188,97,Blue,White,"Would-be conqueror; former janitor, businessman and crimelord, government administrator",Prometheus Corporation; formerly Dragon of Heaven; Palace of the Star Dragon in the Valley of Spirits.,"current CEO of Prometheus Corporation; has employed the Avatars, Living Laser, Power Man, Swordsman, Enchantress, Executioner, Sandman, and Ladykiller.","Unidentified father, mother, paternal aunt (all deceased). Mei-Ling (fianc�e, deceased), Temujin (son), Genghis Khan (alleged ancestor, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1175.jpg
431,Mantis,63,8,33,80,100,80,364,,,Celestial Madonna; Willow; Lorelei; Mandy Celestine; This One (in referring to herself),Vietnam,Avengers #112,Marvel Comics,Good,Female,Human-Kree,168,52,Green,Black,"Celestial Madonna, former adventuress, former bar-maid/prostitute/exotic dancer",Mobile,,"Libra (Gustav Brandt) (father), Lau Brandt (mother), Cotati possessing Jacques Duquesne (husband), Quoi (son)",https://www.superherodb.com/pictures2/portraits/10/100/384.jpg
432,Martian Manhunter,100,95,92,100,100,85,572,J'onn J'onzz,,ohn Jones; J'Onn J'Onzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze Wraith; Bloodwynd; many others,,Detective Comics #225 (1955),DC Comics,Good,Male,Martian,201,135,Red,No Hair,,,"Darkstars, Justice League of Aliens, Justice League Of America, Justice League Task Force, Justice League Unlimited, Martians, Outsiders","M'yrnn J'onzz (father, deceased); Sha'sheen J'onzz (mother, deceased); M'yri'ah (wife, deceased); K'hym (daughter, deceased); Ma'alefa'ak (twin brother); D'all (father-in-law, deceased); J'ahrl J'onzz (ancestor, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/733.jpg
433,Marvel Girl,63,85,47,42,100,80,417,Rachel Anne Summers,,Rachel Grey; formerly Phoenix; Mother Askani; Bright Lady; Aly'zrn Summerset,,UNCANNY X-MEN #141,Marvel Comics,Good,Female,,170,56,Green,Red,Adventurer,"Xavier Institute of Higher Learning, Salem Center, Westchester County, New York (formerly) Braddock Lighthouse, England","Starjammers, formerly X-Men, former servant of Elias Bogan, formerly Clan Askani (leader), Excalibur, former servant of Ahab","Scott Summers (Cyclops, alternate timeline father, deceased in own time), Jean Grey-Summers (Phoenix, alternate timeline mother, deceased in own time), Alex Summers (Havok, alternate timeline uncle), Franklin Richards (alternate future husband), Jonathan Reed Richards (Hyperstorm, alternate future son), David Richards (alternate future son)",https://www.superherodb.com/pictures2/portraits/10/100/94.jpg
434,Master Brood,,,,,,,,Currently Colin Wood,,Brood,Perhaps England,Team Epic Episode 101,Team Epic TV,Good,Male,,183,81,Blue,Black,,"Toronto, Canada",Team Epic,Deceased,https://www.superherodb.com/pictures2/portraits/10/100/958.jpg
435,Master Chief,75,73,35,80,69,100,432,John-117,,Blue 1; Sierra 117; Spartan 117; Demon,"Elysium City, Eridanus II",,Microsoft,Good,Male,Human / Altered,213,0,Brown,Brown,Master Chief Petty Officer of the Navy,,"United Nations Space Command, Navy",,https://www.superherodb.com/pictures2/portraits/10/100/1110.jpg
436,Match,75,95,83,85,100,70,508,Kent Connor,,Superboy; Superman,,"Superboy Vol 4 #35 (January, 1997)",DC Comics,Bad,Male,,0,0,Black,Black,,,"Titans East, the Agenda, Project Cadmus","Superman (genetic template via Superboy), Lex Luthor (genetic Template via Superboy), Superboy (genetic template)",https://www.superherodb.com/pictures2/portraits/10/100/1459.jpg
437,Matt Parkman,63,10,12,14,59,56,214,Matthew Parkman,,,,Heroes S01E02 - Don't Look Back,NBC - Heroes,Good,Male,,0,0,,,NYPD detective,"New York, NY; formerly Los Angeles, CA",,"Maury Parkman (father), Janice Parkman (ex-wife)",https://www.superherodb.com/pictures2/portraits/10/100/948.jpg
438,Maverick,63,10,12,42,60,85,272,Christopher Bradley,,Chris; Bolt,,X-Men Unlimited #8 (1995),Marvel Comics,Good,Male,,193,110,Blue,Black,"Mercenary; former adventurer, student",,"(As Maverick) Formerly Gene Nation, Cable�s Underground; (as Bolt) formerly New Warriors","Robert Bradley (Frank Johnson, father), Marion Bradley (Rose Johnson, mother), Catherine Bradley (Jennifer Johnson, sister)",https://www.superherodb.com/pictures2/portraits/10/100/257.jpg
439,Maxima,75,90,35,56,81,75,412,,,Queen Maxima; Empress of the Almeracian Empire,Almerac,,DC Comics,Bad,Female,,180,72,Brown,Red,"Adventurer, Queen of the Almerac Empire",Imperial Royal Palace,"Justice League Task Force, Extreme Justice",,https://www.superherodb.com/pictures2/portraits/10/100/1168.jpg
440,Maya Herrera,50,10,12,14,60,14,160,Maya Herrera,,,Dominican Republic,,NBC - Heroes,Good,Female,,0,0,,,,,,Alejandro (twin brother),https://www.superherodb.com/pictures2/portraits/10/100/944.jpg
441,Medusa,75,34,35,70,37,56,307,Medusalith Amaquelin Boltagon,,Madam Medusa; Queen Medusa,"Island of Attilan, Atlantic Ocean",Fantastic Four Vol. 1 #36 (1965),Marvel Comics,Good,Female,Inhuman,180,59,Green,Red,"Queen, Royal interpreter",Attilan,"Inhumans, Fantastic Four","Kobar, La (maternal grandparents), Azur (maternal aunt), Mander (maternal uncle-by-marriage), Quelin (father), Ambur (mother), Crystal (sister), Black Bolt (husband, second cousin), Ahura (son), Karnak (cousin), Triton (cousin), Psynapse (second cousin), Maximus (brother-in-law, second cousin), Ronan the Accuser (brother-in-law), Quicksilver (ex-brother-in-law), Luna (niece)",https://www.superherodb.com/pictures2/portraits/10/100/96.jpg
442,Meltdown,38,10,12,42,62,64,228,Tabitha Smith,Boom-Boom,Boom-Boom; Boomer; Meltdown; Mutate #35; Time Bomb; Nancy Forrester,"Roanoke, Virginia",,Boom-Boom,Good,Female,,165,54,Blue,Blond,"Adventurer, former student, thief",,"Formerly Nextwave, X-Force, Genoshan Mutates, New Mutants, X-Terminators, X-Factor (trainee), Fallen Angels","Martin Louis Smith (father), Mandy Smith (step-mother), Wanda Jo Bialowsky-Smith (step-mother)",https://www.superherodb.com/pictures2/portraits/10/100/258.jpg
443,Mephisto,88,85,35,95,100,42,445,,,Satan; Mephistopheles; Lord of Evil; Prince of Devils; Prince of Lies; Lord of the Lower Depths; Satan; Beelzebub; the Devil; Maya; Lucifer; Nick Scratch; the Friend; Legion; numerous others; impersonated Don Blake; many others,Hell,,Marvel Comics,Bad,Male,,198,140,White,Black,Lord of a realm of Hell,,"Hell-lords, Lords of the Splinter Realms; formerly manipulator of the Six-Fingered Hand","Blackheart (son), Mephista (daughter); presumptive relationship to other Hell-lords; quasi-paternal relationship to Mikal Drakonmegas (Hellfire) and Daimon (Hellstorm) and Satana Hellstrom; formerly engaged to unidentified demoness",https://www.superherodb.com/pictures2/portraits/10/100/1322.jpg
444,Mera,56,62,79,60,92,80,429,Mera,,Queen of Atlantis; Aquawoman; Aquagirl; Water-Woman,,"Aquaman #11 (October, 1963)",DC Comics,Good,Female,Atlantean,175,72,Blue,Red,Former queen of Atlantis; Former queen of Dimension Aqua,Atlantis,Aquaman Family; formerly Red Lantern Corps,"Aquaman (husband); Aquababy (son, deceased); A.J. (son); Siren (Hila, twin sister)",https://www.superherodb.com/pictures2/portraits/10/100/1388.jpg
445,Metallo,75,53,23,95,86,64,396,John Corben,,,,"Superman Vol 2 #1 (January, 1987)",DC Comics,Bad,Male,Android,196,90,Green,Brown,Professional criminal,"Mobile, though he generally operates out of Metropolis",Superman Revenge Squad,,https://www.superherodb.com/pictures2/portraits/10/100/737.jpg
446,Metamorpho,,82,,,,,,Rex Mason,,The Element Man,,Brave and the Bold #57,DC Comics,Good,Male,,185,90,Black,No Hair,"Adventurer, former Soldier of Fortune",,"Outsiders, formerly Doom Patrol, Justice League Europe, Seven Soldiers of Victory","Unnamed parents (deceased), Sapphire Stagg Mason (wife), Joseph (son), Simon Stagg (father-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/738.jpg
447,Meteorite,,,,,,,,,,,,,Marvel Comics,Good,Female,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1333.jpg
448,Metron,88,10,47,56,100,28,329,Metron,,,,"New Gods vol. 1 #1 (February-March, 1971)",DC Comics,Good,Male,,185,86,Blue,Black,"Scientist, seeker of knowledge","Supertown, New Genesis",New Gods,,https://www.superherodb.com/pictures2/portraits/10/100/841.jpg
449,Micah Sanders,63,8,12,14,57,14,168,Micah Sanders,,MicahSanders500,,,NBC - Heroes,Good,Male,,0,0,Brown,Black,Elementary school student,"New Orleans, LA",,"Niki Sanders (Mother), DL Hawkins (Father), Paulette Hawkins (paternal grandmother), Hal Sanders (maternal grandfather), Nana Dawson (Guardian)
Nana Dawson (Great-aunt), Monica Dawson (Cousin), Damon Dawson (Cousin)",https://www.superherodb.com/pictures2/portraits/10/100/951.jpg
450,Michelangelo,63,14,50,65,59,75,326,,,Mike; Mikey; Mikester; Michaelangelo,,,IDW Publishing,Good,Male,Mutant,0,0,Blue,,,,,"Leonardo (brother), Donatello (brother), Raphael (brother)",https://www.superherodb.com/pictures2/portraits/10/100/10329.jpg
451,Micro Lad,38,28,27,28,44,32,197,Gim Allon,,Colossal Boy (mostly known as Colossal Boy; although he dislikes that name himself),,Teen Titans/Legion Special #1 (2004),DC Comics,Good,Male,,183,77,Grey,Brown,,"United Planets, 31st century",Legion of Super-Heroes,,https://www.superherodb.com/pictures2/portraits/10/100/1181.jpg
452,Mimic,63,67,47,56,79,42,354,Calvin Montgomery Rankin,,Cal; Wolverine; Calvin Rankin,"Passiac, New Jersey",Uncanny X-Men #19,Marvel Comics,Good,Male,,188,101,Brown,Brown,,,"Formerly Brotherhood Of Mutants, Excalibur, X-Men, former agent of Onslaught and Sledge","Ronald Rankin (father, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/97.jpg
453,Minna Murray,,,,,,,,Wilhelmina Harker,,,,,Wildstorm,Good,Female,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/881.jpg
454,Misfit,63,32,23,80,91,42,331,Charlotte Gage-Radcliffe,Batgirl V,Batgirl,,Birds of Prey #96,DC Comics,Good,Female,,0,0,Blue,Red,,"Dalten Towers, Metropolis",Birds of Prey,,https://www.superherodb.com/pictures2/portraits/10/100/1114.jpg
455,Miss Martian,63,85,58,100,100,45,451,M'gann M'orzz,,Megan Morse; M'Gann M'Orzz (alternate spelling); Martian Girlhunter; Martian Manhunter (Titans Tomorrow alias); Star-Spangled Kid,Mars,"Teen Titans Vol 3 #37 (August, 2006)",DC Comics,Good,Female,,178,61,Red,Red,Adventurer,"Arizona; San Francisco, California; formerly the Tanami Desert, Australia",Teen Titans,,https://www.superherodb.com/pictures2/portraits/10/100/1394.jpg
456,Mister Fantastic,100,10,18,70,33,64,295,Reed Richards,,Mr Fantastic,"Central City, California",FANTASTIC FOUR #1,Marvel Comics,Good,Male,Human / Radiation,185,81,Brown,Brown,"Scientist, adventurer",New York City,Fantastic Four,"Nathaniai (father), Evelyn (mother, deceased), Susan Storm - Invisible Woman (wife), Franklin (son), Johnny Storm - Human Torch (brother-inlaw), Cassandra (stepmother, deceased), Immortus (father's descendant, see Immortus, Kang, Rama-Tut).",https://www.superherodb.com/pictures2/portraits/10/100/408.jpg
457,Mister Freeze,75,32,12,70,37,28,254,Victor Fries,,Mister Zero; Doctor Zero; Doctor Schimmell,,Batman #121 (Feb. 1959),DC Comics,Bad,Male,Human,183,86,,,,,"Assorted Batman rogues, The Society","Nora Fries (wife, deceased, then resurrected as Lazara), Charles (Father) and Lorraine Fries (Mother)",https://www.superherodb.com/pictures2/portraits/10/100/742.jpg
458,Mister Knife,75,10,17,30,13,65,210,J'son,,Jason of Spartax; Jason of Sparta; Star-Lord; Mr Knife,"Spartax, Spartoi Empire, near the Shi'ar Galaxy","Inhumans Vol 3 #2 (July, 2000)",Marvel Comics,Bad,Male,Spartoi,0,0,Blue,Brown,"Crimelord; former emperor, prince","Formerly Spartax, Spartoi Empire, near the Shi'ar Galaxy","Slaughter Lords (leader); formerly Galactic Council, ruler of the Spartoi Empire","Eson (father, deceased), Peter Quill (Star-Lord, son), Victoria (daughter)",https://www.superherodb.com/pictures2/portraits/10/100/10633.jpg
459,Mister Mxyzptlk,100,85,100,100,100,50,535,Mr. Mxyzptlk,,,,Superman #30,DC Comics,Bad,Male,God / Eternal,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/744.jpg
460,Mister Sinister,100,48,46,90,100,50,434,Nathaniel Essex,,Sinister; Robert Windsor; Arnold Bocklin; Mike Milbury; Apocalypse; Steven Shaffran; Edmond Atkinson; Nate; Administrator Pearson; Nosferatu; Nathan Milbury; Pale Man,"London, England","Uncanny X-Men #221 (September, 1987)",Marvel Comics,Bad,Male,Human / Altered,196,128,Red,Black,"Geneticist, Criminal, biologist and mutant-supremacist",Many bases throughout the world including his State Home for Foundlings and the Center for Homo Superior Medical Care.,"Marauders (founder), Nasty Boys (founder); formerly Weapon X, Third Reich","Rebecca Essex (wife, deceased), Adam Stanislaus Essex (son, deceased), N2 (creation, deceased), Madelyne Pryor (creation, deceased), Claudine Renko (clone ""daughter"")",https://www.superherodb.com/pictures2/portraits/10/100/856.jpg
461,Mister Zsasz,88,22,33,28,18,85,274,Victor Zsasz,,Mr Zsasz,,,DC Comics,Bad,Male,Human,0,0,Blue,Blond,Serial Killer,,,,https://www.superherodb.com/pictures2/portraits/10/100/1486.jpg
462,Mockingbird,75,31,38,20,48,95,307,Barbara Morse,,Barbara Morse-Barton; Roberta Morse; Agent 19; Huntress; Bobbi Van Dyne; once posed as Shooting Star,"San Diego, California","Astonishing Tales #6 (June, 1971)",Marvel Comics,Good,Female,Human,175,61,Blue,Blond,"Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist","New York City, New York","World Counterterrorism Agency; formerly Secret Avengers, New Avengers, West Coast Avengers, Avengers, Great Lakes Avengers, S.H.I.E.L.D.; partner of Hawkeye; associate of Dr. Wilma Calvin",Susan Morse (mother); Ben Morse (brother); Hawkeye (Clint Barton) (ex-husband),https://www.superherodb.com/pictures2/portraits/10/100/1328.jpg
463,MODOK,100,18,25,25,79,15,262,George Tarleton,,M.O.D.O.K.; Mental Organism Designed Only for Killing,,Tales of Suspense #93,Marvel Comics,Bad,Male,Cyborg,366,338,White,Brownn,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician",,,"M.O.D.O.K. Superior (clone), Head Case (son), Number None (son)",https://www.superherodb.com/pictures2/portraits/10/100/10438.jpg
464,Mogo,,,,,,,,Mogo,,,,"Green Lantern Vol 2 #188 (May, 1985)",DC Comics,Good,Male,Planet,0,0,,,Green Lantern,Sector 2261,Green Lantern Corps,,https://www.superherodb.com/pictures2/portraits/10/100/1432.jpg
465,Mohinder Suresh,,,,,,,,Mohinder Suresh,,,India,Heroes S01E01 - Genesis,NBC - Heroes,Good,Male,,0,0,,,"Former agent of Pinehearst Company, former Company medical professional & agent, former taxi driver, former genetics professor","Apartment in Brooklyn, NY",,"formerly Maya Herrera, formerly Mira Shenoy, Chandra Suresh (deceased), Unnamed mother, Shanti Suresh",https://www.superherodb.com/pictures2/portraits/10/100/1313.jpg
466,Moloch,,,,,,,,Edgar William Jacobi,,William Edgar Bright; Moloch the Mystic,,,DC Comics,Bad,Male,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1061.jpg
467,Molten Man,50,73,23,84,53,56,339,Mark Raxton,,,,Amazing Spider-Man #28 (1965),Marvel Comics,Bad,Male,,196,248,Gold,Gold,"Security guard for Osborn industries, former criminal, lab assistant",,Exterminators,"Doris Raxton (mother), Liz Allan Osborn (step-sister), Harry Osborn (Green Goblin II , step-brother-in-law, deceased), Norman Osborn Jr. (Green Goblin I, step-nephew)",https://www.superherodb.com/pictures2/portraits/10/100/411.jpg
468,Monarch,,100,,,,,,Nathaniel Christopher Adam,,Monarch; Allen Adam; Cameron Scott; Captain Atom,,"Captain Atom #1 (D.C., March, 1987)",DC Comics,Good,Male,,193,90,Blue,White,"Adventurer, former U.S. Special Agent, former U.S. Air Force Captain",,"formally Justice League, Extreme Justice, Super Buddies, L.A.W., United States Air Force","Angela Adams (wife, deceased), Margaret Eiling (daughter), Randall Eiling (son)",https://www.superherodb.com/pictures2/portraits/10/100/1006.jpg
469,Monica Dawson,50,10,35,14,48,90,247,Monica Dawson,,,,Heroes S02E04 - The Kindness of Strangers,NBC - Heroes,Good,Female,,0,0,,,Fast food service,"New Orleans, LA",,"Nana Dawson (Grandmother), Damon (brother), DL Hawkins (cousin), Niki Sanders (cousin-in-law once removed), Micah Sanders (second cousin)",https://www.superherodb.com/pictures2/portraits/10/100/942.jpg
470,Moon Knight,50,36,23,42,28,75,254,Marc Spector,,Jake Lockley; Steven Grant; Yitzak Topol; Fist of Khonshu; Crescent Crusader; Lunar Legionnaire,"Chicago, Illinois","Werewolf by Night #32 (August, 1975)",Marvel Comics,Good,Male,Human,188,101,Brown,Brown,"Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver","New York City; formerly Spector Mansion, Long Island, Avengers Compound, California","Secret Avengers; formerly: US Marine Corps, Central Intelligence Agency (CIA), partner of Jean-Paul du Champ, partner of Raoul Bushman, partner of Midnight, West Coast Avengers, Marvel Knights, Defenders","Shadowknight (Randall Spector) (brother, deceased), Elias (father, deceased), Seth Phalkon (alleged great-great-grandfather)",https://www.superherodb.com/pictures2/portraits/10/100/415.jpg
471,Moonstone,56,67,47,52,74,80,376,Karla Sofen,,Meteorite;  Kate Sorenson,"Van Nuys, California","Captain America Vol. 1 #192 (December, 1975)",Marvel Comics,Bad,Female,,180,59,Blue,Blond,"former Adventurer, Psychiatrist",formerly Mount Charteris; Four Freedoms Plaza,"Dark Avengers, Formerly; Thunderbolts, Femizons, Masters of Evil, Doctor Faustus, the Corporation, former partner of Blackout (Marcus Daniels)","Karl August Sofen (father), Marion Sofen (mother), unnamed maternal grandparents (only mentioned )",https://www.superherodb.com/pictures2/portraits/10/100/100.jpg
472,Morlun,63,60,35,42,74,56,330,Morlun,,,,Amazing Spider-Man #30 (2001),Marvel Comics,Bad,Male,,188,79,White / Red,Black,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1171.jpg
473,Morph,,40,,,,,,Kevin Sydney,,,"Pittsburgh, Pennsylvania",Exiles #1,Marvel Comics,Good,Male,,178,79,White,No Hair,"Adventurer, reality traveler",Mobile,"Exiles; (Formerly) X-Men, New Mutants, Avengers all of his home reality","Unnamed mother (deceased), Unnamed father",https://www.superherodb.com/pictures2/portraits/10/100/102.jpg
474,Moses Magnum,75,28,12,42,55,56,268,Moses Magnum,,"Magnum Force,",,Giant-Size Spider-Man #4 (1975),Marvel Comics,Bad,Male,,175,72,Brown,Black,"Terrorist, president of Magnum Munitions; former ruler of Canaan",,"Magnum Force (leader), agent of Apocalypse; former agent of They Who Wield Power",,https://www.superherodb.com/pictures2/portraits/10/100/1020.jpg
475,Mr Immortal,50,10,8,100,69,30,267,Craig Hollis,,,,West Coast Avengers Vol 2 #46,Marvel Comics,Good,Male,Mutant,188,70,Blue,Blond,,,,,https://www.superherodb.com/pictures2/portraits/10/100/10794.jpg
476,Mr Incredible,50,83,33,95,29,40,330,Robert Parr,,Mr. I; The Hero's Hero; Bob Parr,,"The Incredibles (Movies, 2004)",Dark Horse Comics,Good,Male,Human,201,158,Blue,Blond,,,Incredible Family,"Helen Parr (Elastigirl, wife), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)",https://www.superherodb.com/pictures2/portraits/10/100/869.jpg
477,Ms Marvel II,38,63,23,84,11,56,275,Sharon Ventura,She-Thing,She-Thing,"Pullman, Washington",,Marvel Comics,Good,Female,,173,61,Blue,Red,"Wanderer, former adventurer, wrestler, stunt woman, scuba diver, motorcycle performer",,"Former member of the Fantastic Four, Frightful Four, Unlimited Class Wrestling Federation, Thunderiders",,https://www.superherodb.com/pictures2/portraits/10/100/897.jpg
478,Multiple Man,63,11,23,70,28,62,257,James Arthur,,,"Los Alamos, New Mexico",GIANT-SIZE FANTASTIC FOUR #4,Marvel Comics,Good,Male,,180,70,Blue,Brown,"Private investigator (formerly) Farmer, Adventurer",New York City,"X-Factor Investigations (formerly) X-Factor, Fallen Angels, X-Corps, X-Corporation","Dr. Daniel Madrox (father, deceased), Joan Madrox (mother, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/104.jpg
479,Mysterio,81,10,17,40,82,70,300,Quentin Beck,,Nicholas Macabes; Rudolph Hines; Gerdes; Doctor Ludwig Rinehart,"New York, New York",Amazing Spider-Man #13 (1964),Marvel Comics,Bad,Male,Human,180,79,Brown,No Hair,Criminal; former Hollywood special effects designer and stunt man,"New York City, New York State (Earth-1610) formerly New York City, New York (Earth-616)",None; Former Sinister Six,"Henrietta Beck (mother), Elmore Beck (father), Vincent (uncle), Maguire Beck (Jack O'Lantern) (cousin)",https://www.superherodb.com/pictures2/portraits/10/100/1039.jpg
480,Mystique,75,12,23,64,64,74,312,Raven Darkholme,,Mallory Brickman,,"(as Raven Darkholme) MS. MARVEL #16, (as Mystique) MS. MARVEL #18",Marvel Comics,Bad,Female,Mutant,178,54,Yellow (without irises),Red / Orange,"Special operative for Germany and the United States governments, (former) German Freedom Fighter, special operative in the Weapon X Project Team","Arlington, Virginia","Founder and leader of the third Brotherhood of Evil Mutants, now known as Freedom Force; X-Factor, X-Men","Rogue (unofficial foster daughter), Ralph Brickman (husband), Gloria Brickman (daughter), Graydon Creed (son, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/817.jpg
481,Namor,69,95,58,70,73,85,450,Namor McKenzie,,"Imperius Rex; Dr. G.W. Falton; Sub-Mariner; ""Subby""; Namor the First; Avenging Son; Old Man; Rex; Joe Pierre; Lord of the Seven Seas; the Scion of the Deep; Phoenix",Atlantis,"Motion Picture Funnies Weekly #1 (April, 1939)",Marvel Comics,Good,Male,Atlantean,188,125,Grey,Black,"King of Atlantis, Adventurer; former warrior, commando, CEO","Ultimate Universe; formerly New Atlantis, Utopia, San Francisco Bay, California; Atlantis; Necropolis, Wakanda; occasionally mobile","Cabal (founder), Invaders, Atlantis; formerly Illuminati, X-Men, Extinction Team, Phoenix Five, Defenders, Osborn's X-Men, Osborn's Cabal, Avengers, All-Winners Squad, Titans Three, Fantastic Four, Oracle Inc., Order, Deep Six (founder and leader); ally o","Elanna (maternal ancestor), Tanas (maternal ancestor), Zartra (maternal ancestor), Orrek (maternal distant relative), Stegor (maternal ancestor), Kamuu (maternal ancestor), Harran (maternal ancestor), Kalen (maternal ancestor), Ossem (maternal ancestor), Balaal (maternal ancestor), Thallo (maternal ancestor), Immanu (maternal great-grandfather-in-law, deceased), Thakorr (maternal grandfather, deceased), Korra (maternal grandmother), Wa-Korr (grandfather-in-law, presumed deceased), Wathan (father-in-law, presumed deceased), Tom Smallwood (father-in-law), Gladys Smallwood (mother-in-law), Zarina (maternal aunt), Namora's father (uncle), Daka (maternal uncle), Brynn (aunt-by-marriage/step-grandmother), Fen (mother, deceased), Leonard McKenzie (father, deceased), Experiment N2 (clone), Lawrence McKenzie (paternal half-brother), Dorma (wife / distant cousin, deceased), Marrina (wife), three unnamed children (by Marrina), Kamar (son, deceased), Black Moray (Leon McKenzie) (paternal half-nephew), Llyron McKenzie (paternal great-nephew), Dan Smallwood (brother-in-law), Namora (maternal cousin), Beemer (maternal cousin), Bobo (maternal cousin), Byrrahna (maternal cousin), Namita (maternal cousin), Daro (maternal cousin), Dara (maternal cousin), Seth (maternal cousin), Argus (maternal cousin), Arkus (maternal cousin), Byrrah (maternal cousin), Namorita (maternal 1st cousin once removed).",https://www.superherodb.com/pictures2/portraits/10/100/137.jpg
482,Namor,,,,,,,,,,,,,Marvel Comics,Good,Male,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/105.jpg
483,Namora,50,85,42,42,48,64,331,Aquaria Nautica Neptunia,,Sub-Mariner; Avenging Daughter; the Sea Beauty,Unnamed Atlantean outpost,Marvel Mystery Comics #82 (1947),Marvel Comics,Good,Female,,180,85,Blue,Blond,,,"Agents of Atlas, Long-time ally of Namor; Monster Hunters, Invaders, All Winners Squad; At one time or another was partnered with FBI Agent Jimmy Woo, Sun Girl, Venus, Golden Girl, Hulk","Namor (cousin), Talan (husband, deceased), Namorita (""daughter"" cloned)",https://www.superherodb.com/pictures2/portraits/10/100/1364.jpg
484,Namorita,50,72,47,70,37,70,346,Namorita Prentiss,,Kymaera; Hard,Atlantis Outskirts,SUB-MARINER Vol. 2 #50 (1972),Marvel Comics,Good,Female,,168,101,Blue,Blond,"Superhero, formerly Leader of Atlantis","Mobile, formerly New Warriors headquarters and Atlantis","Formerly Council of Three, New Warriors, Fantastic Four, Soldiers of Misfortune, Water Children","Namora (mother); Talan (father, deceased); Namor, Byrrah, Dara, Arkus (first cousins once removed); Fen (great-aunt, deceased); Thakorr (great-grandfather, deceased); Korra (great-grandmother, presumed deceased); large extended family; Betty Prentiss (legal guardian, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/106.jpg
